evidenceId:ID,text,:LABEL
ev-1,1,Evidence
ev-2,2,Evidence
ev-3,3,Evidence
ev-4,4,Evidence
ev-5,5,Evidence
ev-6,6,Evidence
ev-7,7,Evidence
ev-8,8,Evidence
ev-9,9,Evidence
ev-10,10,Evidence
ev-11,11,Evidence
ev-12,12,Evidence
ev-13,13,Evidence
ev-14,14,Evidence
ev-15,15,Evidence
ev-16,16,Evidence
ev-17,17,Evidence
ev-18,18,Evidence
ev-19,19,Evidence
ev-20,20,Evidence
ev-21,21,Evidence
ev-22,22,Evidence
ev-23,23,Evidence
ev-24,24,Evidence
ev-25,25,Evidence
ev-26,26,Evidence
ev-27,27,Evidence
ev-28,28,Evidence
ev-29,29,Evidence
ev-30,30,Evidence
ev-31,31,Evidence
ev-32,32,Evidence
ev-33,33,Evidence
ev-34,34,Evidence
ev-35,35,Evidence
ev-36,36,Evidence
ev-37,37,Evidence
ev-38,38,Evidence
ev-39,39,Evidence
ev-40,40,Evidence
ev-41,41,Evidence
ev-42,42,Evidence
ev-43,43,Evidence
ev-44,44,Evidence
ev-45,45,Evidence
ev-46,46,Evidence
ev-47,47,Evidence
ev-48,48,Evidence
ev-49,49,Evidence
ev-50,50,Evidence
ev-51,51,Evidence
ev-52,52,Evidence
ev-53,53,Evidence
ev-54,54,Evidence
ev-55,55,Evidence
ev-56,56,Evidence
ev-57,57,Evidence
ev-58,58,Evidence
ev-59,59,Evidence
ev-60,60,Evidence
ev-61,61,Evidence
ev-62,62,Evidence
ev-63,63,Evidence
ev-64,64,Evidence
ev-65,65,Evidence
ev-66,66,Evidence
ev-67,67,Evidence
ev-68,68,Evidence
ev-69,69,Evidence
ev-70,70,Evidence
ev-71,71,Evidence
ev-72,72,Evidence
ev-73,73,Evidence
ev-74,74,Evidence
ev-75,75,Evidence
ev-76,76,Evidence
ev-77,77,Evidence
ev-78,78,Evidence
ev-79,79,Evidence
ev-80,80,Evidence
ev-81,81,Evidence
ev-82,82,Evidence
ev-83,83,Evidence
ev-84,84,Evidence
ev-85,85,Evidence
ev-86,86,Evidence
ev-87,87,Evidence
ev-88,88,Evidence
ev-89,89,Evidence
ev-90,90,Evidence
ev-91,91,Evidence
ev-92,92,Evidence
ev-93,93,Evidence
ev-94,94,Evidence
ev-95,95,Evidence
ev-96,96,Evidence
ev-97,97,Evidence
ev-98,98,Evidence
ev-99,99,Evidence
ev-100,100,Evidence
ev-101,101,Evidence
ev-102,102,Evidence
ev-103,103,Evidence
ev-104,104,Evidence
ev-105,105,Evidence
ev-106,106,Evidence
