doc,page_guess,line_no,excerpt,classification,actor,refute_required,note
NoReply_20260105_131859_0006.pdf,14,3,"2025, Judge McNeill",record_fact_judge_identification,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,4,"signed an ex parte ""emergency""",ex_parte_reference,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,5,order suspending,parenting_time_restriction,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,16,for ex parte relief,ex_parte_reference,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,20,(ex parte orders require,ex_parte_reference,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,57,I was not served with the ex parte motion,ex_parte_reference,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,72,time had been suspended.,parenting_time_restriction,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,75,ex parte handling,ex_parte_reference,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,79,evaluation).,mental_health_assessment,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
NoReply_20260105_131859_0006.pdf,14,96,evaluation,mental_health_assessment,non_court_narrative,"N/A (support, not refute; non-court narrative)",Classifier v6 + doc-role v11.
