file,bytes,sha256
00_README.txt,273,47f5a7068b2ffb49ddf278a54a014aed6eeca3404ffeefe3f017195ddb85cb57
01_SUPERPIN_MASTER_PROMPT_GEMINI_IDE.txt,3198,0f360eb4936be9b7082ad8925db31782fc53fe4fd4df42c4aad21428eba8a844
02_MI_AUTHORITY_ATLAS.txt,4775,bd65e3ddb452edd0c975c2b425209473854f7ae018bbd26d2cb487dcdfd352b5
03_VEHICLE_LIBRARY_ALL_LEVELS.txt,4263,7a6072b778f29e15493d53b2ca73947971dfc3c778aef4bc113390bd65ec833d
09_MENTAL_HEALTH_MDHHS_LAW_ATLAS.txt,1655,4a60efed5333fe7baddc1ce46933b865dccdbaadfadd1d192c6f65b8472f03cc
10_CONSTITUTIONAL_RIGHTS_ATLAS.txt,1044,d3b071a77ad30457dca39407d7b5027c391f0c884522a6aeb4226a01eed27fd7
11_BENCHBOOKS_TRAINING_RESOURCES_INDEX.txt,1165,f27f702895f83a70d3f34ca5b77bdc92b4c16469739f3df58de7178d0c7f4aeb
12_CHECKLISTS_QA_FAILMODES.txt,617,cb8d145ad7488be093dcc8e09651cfd41ee2077b81683c13978db3c841da27cf
13_LEXICONS_ADVERSE_LANGUAGE.txt,884,f671c792562a37aeb9d50a3f41fe1e68a3335dc0fc0dfa4faa27b7fef5d249e1
14_RECORD_ACQUISITION_PLAYBOOK.txt,502,97b53a84aa52c21f43ef2ea0c41884abe903202e7305086ad7f2221781053039
15_CITATION_STYLE_GUIDE.txt,347,f8831bcf1b413782b94bae39c9e2509d18ef3b4e81f88f9adc39d16ade7dff09
16_AUTOMATION_COMMANDS_TEMPLATES.txt,1733,2b642b6a304e102784430a3a92720744e9043670803436daff00b276161b36d6
17_OFFICIAL_LINKS_INDEX.txt,1848,a609d7349056bfbbe02da6e3249811650c2ba660b5cc2f9fc6908adb2cbc46b6
18_MI_HIGHER_COURT_FILING_REQUIREMENTS.txt,5930,742d62e25e045159bd28303aaada408e3c40f6d8ec2b97c72d6ebd5d6710523f
19_TIME_DEADLINE_COMPUTATION_ATLAS.txt,1848,63721e99b52255072a2835c08c54bebf4e8af58ae7ff9109a707da39ab96a235
20_SERVICE_NOTICE_ATLAS.txt,1037,20335b6d6d73c17ef12896fcc62516bd2e1faf72dece762e784227f9a26bbd19
21_DISCOVERY_SUBPOENA_ATLAS.txt,1447,9f611862b9e58671d39f053d44d5b4853ead6bc82af12ba8701246b99ca85249
22_EVIDENCE_FOUNDATION_CHECKLISTS.txt,2384,ca682159aa01c7fda9fa399725e4e64e5f05ccb37303691f518db87ce556720b
23_APPELLATE_SKELETONS_COA_MSC.txt,1826,9258121e8954101b4c0f04fada3ecc67ccf63e643512823d36fced477626ffe2
24_STANDARD_OF_REVIEW_ATLAS.txt,1352,46652e75d3a27ca35feba0ccdbe62454173ae8d485f56792e34122328d9199a3
25_DUE_PROCESS_MODULE_LIBRARY.txt,1389,73647d3d4c42acd6f2eab1e5fab04e1dc9fff2c912fea27af7cb33038882909d
26_BIAS_DISQUALIFICATION_MODULE.txt,1008,be9d4db8f828ef0b14bb058d9fa3e69f1310932ddeb821f27d92c99f80852c51
27_FOIA_RECORDS_ACQUISITION_ATLAS.txt,1032,6264c7f7167b9d8797e39c5df2394e79af5fb5a0c81ece074b357635bfd76a6c
28_COURT_ACCESS_CLERK_PRACTICE_ATLAS.txt,876,40f2246dbb8a8610805a2f56776f9ed0bfd93998cccf5dcfcbedf5e575a29669
29_OUTPUT_SCHEMA_ATLAS.txt,903,cbb1dea6985a206841e797be2be99e11f8179da6bb08b81befa8cf1676b208bb
30_AUTHORITY_CSV_DIGEST.txt,8329,51854110cd453aab7870f700c0165426d77c55ca422a0c2673f08ef909dc27da
30_AUTHORITY_CSV_PROFILE.json,1269,c0f27b8c7593f414dd16404cb015f242be8bb8cf0cc2edc1dda8ce7b370d4e54
LLM_AUTO_PLAN.md,628,65a8b2ba111e6c938fb511537aa862bfbe53669aefe1a40dd810d014cb9af630
LLM_AUTO_PLAN.rtf,696,b86f6f11b21a844f98834e85b8ee1f7ac3e846b69c49611fcf9f1224308e5fd4
README.md,602,61ef203c75cc9829f70bb3141124abb428dd2a0e04aa73697f71b6c1cafb67fe
RUN_LEDGER.jsonl,1003,f50d10731868af605864dc10160a2b5e3c20c83c49c2a798f7032d2af8479c9d
manifest.csv,1965,19de983dfe024c3002a2b2dd5cd384cc0b8287be2f5db4759c142ea2f9918c6f
rebuild_pack.py,1528,b90ecb26cf955eed3d9832ed018a41e68b15ab9824f535114f481c40ffa6f918
